season,curve x,level number,skill,balls,max block,min block
0,0.08333334,1,0,12,10,3
0,0.1666667,2,0,15,19,3
0,0.25,3,0,18,24,4
0,0.3333333,4,0,20,28,5
0,0.4166667,5,0,22,32,5
0,0.5,6,0,25,37,6
0,0.5833333,7,0,28,42,7
0,0.6666667,8,0,30,46,7
0,0.75,9,0,32,64,8
0,0.8333333,10,0,35,73,8
0,0.9166667,11,0,38,73,9
0,1,12,0,40,82,10
1,0.0625,13,0,22,30,5
1,0.125,14,0,24,62,6
1,0.1875,15,0,27,254,6
1,0.25,16,0,29,94,7
1,0.3125,17,0,31,94,7
1,0.375,18,0,33,190,8
1,0.4375,19,0,35,94,8
1,0.5,20,0,38,190,9
1,0.5625,21,0,40,254,10
1,0.625,22,0,42,94,10
1,0.6875,23,0,44,222,11
1,0.75,24,0,46,142,11
1,0.8125,25,0,48,286,12
1,0.875,26,0,51,126,12
1,0.9375,27,0,53,286,13
1,1,28,0,55,350,13
2,0.05,29,0,22,40,5
2,0.1,30,0,25,74,6
2,0.15,31,0,28,375,7
2,0.2,32,0,30,107,7
2,0.25,33,0,32,107,8
2,0.3,34,0,35,375,8
2,0.35,35,0,38,140,9
2,0.4,36,0,40,107,10
2,0.45,37,0,42,375,10
2,0.5,38,0,45,107,11
2,0.55,39,0,48,208,12
2,0.6,40,0,50,291,12
2,0.65,41,0,52,107,13
2,0.7,42,0,55,174,13
2,0.75,43,0,58,375,14
2,0.8,44,0,60,107,15
2,0.85,45,0,62,208,15
2,0.9,46,0,65,375,16
2,0.95,47,0,68,107,17
2,1,48,0,70,291,17
3,0.05,49,0,24,45,6
3,0.1,50,0,27,80,6
3,0.15,51,0,31,400,7
3,0.2,52,0,34,116,8
3,0.25,53,0,37,116,9
3,0.3,54,0,40,400,10
3,0.35,55,0,43,152,10
3,0.4,56,0,47,116,11
3,0.45,57,0,50,400,12
3,0.5,58,0,53,116,13
3,0.55,59,0,56,222,14
3,0.6,60,0,59,311,14
3,0.65,61,0,63,116,15
3,0.7,62,0,66,187,16
3,0.75,63,0,69,400,17
3,0.8,64,0,72,116,18
3,0.85,65,0,75,222,18
3,0.9,66,0,79,400,19
3,0.95,67,0,82,116,20
3,1,68,0,85,311,21
4,0.05,69,0,26,50,6
4,0.1,70,0,30,88,7
4,0.15,71,0,34,425,8
4,0.2,72,0,38,125,9
4,0.25,73,0,42,125,10
4,0.3,74,0,45,425,11
4,0.35,75,0,49,162,12
4,0.4,76,0,53,125,13
4,0.45,77,0,57,425,14
4,0.5,78,0,61,125,15
4,0.55,79,0,65,238,16
4,0.6,80,0,69,331,17
4,0.65,81,0,73,125,18
4,0.7,82,0,77,200,19
4,0.75,83,0,80,425,20
4,0.8,84,0,84,125,21
4,0.85,85,0,88,238,22
4,0.9,86,0,92,425,23
4,0.95,87,0,96,125,24
4,1,88,0,100,331,25
